Name	Title	Type	Description	Is Searchable
obstructionType	Obstruction Type	number	"Code that gives the type of obstruction (if any) in the enclosure (if any). With obstruction: enclosure/crawlspace with proper openings not used for rating (not applicable in V zones) - 15; With obstruction: less than 300 sq. ft. with breakaway walls, but no machinery or equipment attached to building below lowest elevated floor, or elevation of machinery/equipment is at or above Base Flood Elevation - 20; With obstruction: less than 300 sq. ft. with breakaway walls or finished enclosure and with machinery or equipment attached to building below lowest elevated floor, and elevation of machinery/equipment is below Base Flood Elevation - 24; With obstruction: 300 sq. ft. or more with breakaway walls, but no machinery or equipment attached to building below the Base Flood Elevation - 30; With obstruction: 300 sq. ft. or more with breakaway walls or finished enclosure and with machinery or equipment attached to building below the Base Flood Elevation - 34; With obstruction: no walls, but the elevation of machinery or equipment attached to building is below Base Flood Elevation (NOTE: Use Obstruction Type '10' and Without Obstruction Rate Table if the elevation of machinery/equipment is at or above Base Flood Elevation.) - 40; With obstruction: nonbreakaway walls/crawlspace or finished enclosure with no machinery or equipment attached to building below lowest elevated floor - 50; With obstruction: nonbreakaway walls/crawlspace or finished enclosure with machinery or equipment attached to building below lowest elevated floor - 54; With obstruction - 60; With Certification subgrade crawlspace (AE, A01-A30, unnumbered A, AO, AH, AOB, AHB zones) - 70; Without Certification subgrade crawlspace (all zones) - 80; With Enclosure: Elevated buildings with elevator below the BFE in A zones. No other enclosure below the BFE. - 90; Free of Obstruction: Elevated buildings with lattice, slats, or shutters (including louvers) enclosing the elevator below the BFE in V zones. No other obstruction or machinery and equipment (M&E) servicing the building located below the BFE. The building will be rated free of obstruction with the V zone elevator loading added to the building basic limit. - 91; With Enclosure: Elevated buildings with elevator below the BFE in A zones. Enclosure below the BFE has no proper openings, is finished, or is used for other than parking, building access, or storage. - 92; With Obstruction: Elevated buildings with elevator below the BFE in V zones. No other obstruction or machinery and equipment (M&E) servicing the building located below the BFE. - 94; With Obstruction: Elevated buildings with elevator below the BFE in V zones. Breakaway wall obstruction is unfinished and elevator and obstruction are located below the BFE, but no machinery and equipment (M&E) servicing the building is located below the BFE. - 95; With Obstruction: Elevated buildings with elevator below the BFE in V zones. Breakaway wall obstruction is finished or is used for other than parking, building access, or storage. - 96; With Obstruction: Elevated buildings with elevator below the BFE in V zones. No other obstruction, but has M&E servicing the building located below the BFE. - 97; With Obstruction: Elevated buildings with elevator below the BFE in V zones. Breakaway walls obstruction and M&E servicing the building are located below the BFE. - 98;"	yes
occupancyType	Occupancy Type	number	"Code indicating the use and occupancy type of the insured structure. One-digit code: 1: Single family residence; 2: 2 to 4 unit residential building; 3: Residential building with more than 4 units; 4: Non-residential building; 11: Single-family residential building with the exception of a mobile home or a single residential unit within a multi-unit building; 12: A residential non-condo building with 2, 3, or 4 units seeking insurance on all units; 13: A residential non-condo building with 5 or more units seeking insurance on all units; 14: Residential mobile/manufactured home; 15: Residential condo association seeking coverage on a building with one or more units; 16: Single residential unit within a multi-unit building; 17: Non-residential mobile/manufactured home; 18: A non-residential building; 19: A non-residential unit within a multi-unit building"	yes
originalConstructionDate	Original Construction Date	date	"The original date of the construction of the building. When time is not specified in the field, it will default to T00:00:00.000Z"	yes
originalNBDate	Original NB Date	date	"The original date of the flood policy. When time is not specified in the field, it will default to T00:00:00.000Z"	yes
amountPaidOnBuildingClaim	Amount Paid On Building Claim	number	"Dollar amount paid on the building claim. In some instances, a negative amount may appear which occurs when a check issued to a policy holder isn't cashed and has to be re-issued"	yes
amountPaidOnContentsClaim	Amount Paid On Contents Claim	number	"Dollar amount paid on the contents claim. In some instances, a negative amount may appear, which occurs when a check issued to a policy holder isn't cashed and has to be re-issued"	yes
amountPaidOnIncreasedCostOfComplianceClaim	Amount Paid On Increased Cost Of Compliance Claim	number	"Dollar amount paid on the Increased Cost of Compliance (ICC) claim. Increased Cost of Compliance (ICC) coverage is one of several flood insurances resources for policyholders who need additional help rebuilding after a flood. It provides up to $30,000 to help cover the cost of mitigation measures that will reduce the flood risk"	yes
postFIRMConstructionIndicator	Post-FIRM Construction Indicator	boolean	"Yes or No Indicator on whether construction was started before or after publication of the FIRM. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'. For insurance rating purposes, buildings for which the start of construction or substantial improvement was after December 31, 1974, or on or after the effective date of the initial FIRM for the community, whichever is later, are considered Post-FIRM construction"	no
rateMethod	Rate Method	string	"Indicates policy rating method: 1 - Manual; 2 - Specific; 3 - Alternative; 4 - V-Zone Risk Factor Rating Form; 5 - Underinsured Condominium Master Policy; 6 - Provisional; 7 - Preferred Risk Policy (PRPs issued for eligible properties located within a non-Special Flood Hazard Area [non-SFHA]); 8 - Tentative; 9 - MPPP Policy; A - Optional Post-1981 V Zone; B - Pre-FIRM policies with elevation rating - Flood Insurance Manual rate tables; E - FEMA Pre-FIRM Special Rates; F - Leased Federal Property; G - Group Flood Insurance Policy (GFIP); P - Preferred Risk Policy (A PRP renewal issued in the first year following a map revision for an eligible property that was newly mapped into the SFHA by the map revision, or new business written for an eligible property that was newly mapped into the SFHA by a map revision effective on or after October 1, 2008 - PRP Eligibility Extension); Q - Preferred Risk Policy (subsequent PRP renewals where the previous policy year was reported as a 'P' or 'Q'); S - FEMA Special Rates; T - Severe Repetitive Loss Properties (formerly Target Group Full Risk). Effective October 1, 2013, code will no longer be valid; W - Pre-FIRM policies with elevation rating - Submit-for-Rate procedures; RatingEngine: Risk Rated policies where FEMA calculates the rates based on various risk factors."	yes
smallBusinessIndicatorBuilding	Small Business Indicator Building	boolean	Yes (Y) or No (N) indicator of whether or not the insured represents a small business. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'. Small business is defined as a business with fewer than 100 employees in the policy application	no
state	State	string	The two-character alpha abbreviation of the state in which the insured property is located	yes
totalBuildingInsuranceCoverage	Total Building Insurance Coverage	number	Total Insurance Amount in dollars on the Building	yes
totalContentsInsuranceCoverage	Total Contents Insurance Coverage	number	Total Insurance Amount in dollars on the Contents	yes
yearOfLoss	Year of Loss	number	Year of Loss = Year in which the flood loss occurred	yes
reportedZipcode	Zip Code	string	5-digit Postal Zip Code of the insured property	yes
primaryResidence	Primary Residence	boolean	"Yes (Y) or No (N) indicator of whether or not a building is a primary residence. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'. A primary residence is a single family building, condominium unit, apartment unit, or unit within a cooperative building that will be lived in by the policyholder or the policyholder's spouse for: More than 50% of the 365 calendar days following the current policy effective date; or 50% or less of the 365 calendar days following the current policy effective date if the policyholder has only one residence and does not lease that residence to another party or use it as rental or income property at any time during the policy term. A policyholder and the policyholder's spouse may not collectively have more than one primary residence"	no
id	ID	string	Unique ID assigned to the record	yes
